city_en,ev_stock_2022
Ankang,4499
Anqing,15461
Anshun,7680
Anyang,32483
Baiyin,2813
Baoding,74578
Baoji,11564
Baotou,11430
Beijing,712049
Bengbu,11407
Binzhou,31832
Bozhou,26594
Cangzhou,36162
Changchun,52934
Changde,16801
Changsha,209355
Changzhou,70089
Chengde,5467
Chengdu,398049
Chizhou,5834
Chongqing,276327
Chuzhou,15503
Dali,8676
Dalian,37335
Datong,10986
Dazhou,6119
Deyang,13093
Dezhou,35465
Dongguan,161602
Dongying,22760
Enshi,11110
Ezhou,3786
Foshan,154533
Fuyang,36108
Fuzhou,88578
Ganzhou,32010
Ganzi,544
Guangyuan,4194
Guangzhou,541960
Guiyang,79721
Guyuan,921
Haikou,132602
Handan,48929
Hangzhou,520772
Hanzhong,8501
Harbin,26794
Hefei,156544
Hengshui,14648
Hengyang,18614
Heze,62205
Hohhot,19770
Honghe,17234
Huaian,30197
Huaihua,10261
Huainan,8756
Huanggang,14813
Huangshi,10664
Huizhou,51407
Huludao,3161
Huzhou,59327
Jian,11834
Jiangmen,33597
Jiaozuo,30953
Jiaxing,87548
Jinan,123062
Jincheng,16998
Jingdezhen,6446
Jingmen,6023
Jinhua,112697
Jining,89279
Jinzhong,15511
Jiujiang,23706
Kaifeng,30392
Kunming,108185
Langfang,35948
Lanzhou,27264
Leshan,9587
Lianyungang,27986
Liaocheng,35515
Linyi,72645
Lishui,23580
Liuzhou,147770
Longyan,11491
Loudi,8124
Luan,14915
Luoyang,76596
Lvliang,12424
Maanshan,14286
Meishan,9448
Mianyang,22032
Nanchang,100433
Nanchong,12996
Nanjing,176587
Nanning,131230
Nanping,11337
Nantong,77777
Nanyang,37400
Ningbo,167312
Ningde,14261
Ordos,15546
Pingdingshan,21933
Pingxiang,9505
Putian,19734
Puyang,34551
Qiandongnan,8903
Qingdao,165057
Qingyuan,18481
Qinhuangdao,13179
Quanzhou,69796
Qujing,16541
Quzhou,19695
Rizhao,16292
Sanmenxia,12070
Sanming,7920
Sanya,39619
Shanghai,998341
Shangqiu,47498
Shangrao,15186
Shaoguan,7645
Shaoxing,61589
Shaoyang,13784
Shenyang,53017
Shenzhen,771541
Shijiazhuang,107302
Shiyan,13998
Shizuishan,719
Shuozhou,5459
Suining,5579
Suizhou,3279
Suqian,21776
Suzhou_Anhui,19229
Suzhou_Jiangsu,239195
Tahe,17116
Taian,19155
Taiyuan,107799
Taizhou,32534
Tangshan,63809
Tianjin,374669
Tieling,2223
Tongchuan,2209
Tongling,7252
Weifang,105648
Weinan,11948
Wenzhou,172359
Wuhan,231914
Wuhu,54980
Wuxi,133234
Wuzhong,1247
Wuzhou,9818
Xi'an,227215
Xiamen,119559
Xiangtan,11071
Xiangxi,6516
Xiangyang,32815
Xianning,7544
Xianyang,19001
Xiaogan,8037
Xingtai,37061
Xinxiang,40442
Xinyang,15034
Xinzhou,10043
Xuancheng,12491
Xuzhou,75289
Yaan,3883
Yanan,5001
Yancheng,32986
Yangquan,9411
Yangzhou,36261
Yantai,41675
Yibin,12148
Yichang,22856
Yichun,14563
Yinchuan,20494
Yingkou,6205
Yingtan,3819
Yiyang,8874
Yongzhou,9607
Yueyang,15681
Yulin_Guangxi,18420
Yulin_Shaanxi,11571
Yuncheng,31519
Yunfu,7608
Zaozhuang,28916
Zhangjiajie,4095
Zhangjiakou,7885
Zhangzhi,20567
Zhangzhou,19385
Zhanjiang,13335
Zhaoqing,15964
Zhengzhou,316398
Zhenjiang,25958
Zhongwei,947
Zhoukou,28795
Zhoushan,6452
Zhuhai,37868
Zhumadian,42930
Zhuzhou,16448
Zibo,41487
Zunyi,22677
