city_name_cn,city_en,population_2022,ev_stock_2022,ev_stock_per_100_people
安康市,Ankang,2514953.518986,4499,0.17889
安庆市,Anqing,4182100.293047,15461,0.369695
安顺市,Anshun,2520139.358956,7680,0.304745
安阳市,Anyang,5533288.009137,32483,0.587047
白银市,Baiyin,1525895.82312,2813,0.184351
保定市,Baoding,11578340.075624,74578,0.644117
宝鸡市,Baoji,3345238.825699,11564,0.345685
包头市,Baotou,2734413.082439,11430,0.418006
北京市,Beijing,22192219.807586,712049,3.208552
蚌埠市,Bengbu,3327396.529233,11407,0.342821
滨州市,Binzhou,3958182.071637,31832,0.804208
亳州市,Bozhou,5044903.637902,26594,0.527146
沧州市,Cangzhou,7438519.439932,36162,0.486145
长春市,Changchun,8285550.126407,52934,0.638871
常德市,Changde,5272320.340599,16801,0.318664
长沙市,Changsha,10220193.206019,209355,2.048445
常州市,Changzhou,5328753.383458,70089,1.315298
承德市,Chengde,3377473.154486,5467,0.161867
成都市,Chengdu,21270106.147705,398049,1.871401
池州市,Chizhou,1350013.074072,5834,0.432144
重庆市,Chongqing,32360145.486578,276327,0.853911
滁州市,Chuzhou,4020271.897051,15503,0.385621
大理白族自治州,Dali,3380386.220632,8676,0.256657
大连市,Dalian,7477265.289028,37335,0.499314
大同市,Datong,3133086.467704,10986,0.350645
达州市,Dazhou,5424103.956529,6119,0.112811
德阳市,Deyang,3468168.640877,13093,0.377519
德州市,Dezhou,5651383.057264,35465,0.627545
东莞市,Dongguan,10812530.508034,161602,1.494581
东营市,Dongying,2212478.560775,22760,1.028711
恩施土家族苗族自治州,Enshi,3476904.437943,11110,0.319537
鄂州市,Ezhou,1082624.14637,3786,0.349706
佛山市,Foshan,9760435.918131,154533,1.583259
阜阳市,Fuyang,8296519.494808,36108,0.435219
福州市,Fuzhou,8423759.210477,88578,1.051526
赣州市,Ganzhou,9117392.226297,32010,0.351087
甘孜藏族自治州,Ganzi,1134222.766247,544,0.047962
广元市,Guangyuan,2314819.873479,4194,0.18118
广州市,Guangzhou,19215575.42525,541960,2.82042
贵阳市,Guiyang,6140004.609235,79721,1.298387
固原市,Guyuan,1163339.591959,921,0.079169
海口市,Haikou,2941293.891159,132602,4.508288
邯郸市,Handan,9535076.771299,48929,0.513147
杭州市,Hangzhou,12160062.212619,520772,4.282643
汉中市,Hanzhong,3227494.293331,8501,0.263393
哈尔滨市,Harbin,10106730.001157,26794,0.26511
合肥市,Hefei,9523331.094595,156544,1.643795
衡水市,Hengshui,4246735.897226,14648,0.344924
衡阳市,Hengyang,6705847.327192,18614,0.277579
菏泽市,Heze,8861153.107647,62205,0.701997
